species,Protein Count
Parabacteroides merdae,4
Staphylococcus haemolyticus,62
Erysipelothrix rhusiopathiae,43
Bacillus halmapalus,67
Gordonia neofelifaecis,27
Xanthomonas arboricola,159
Gordonia sputi,144
Bacillus alcalophilus,56
Bacillus licheniformis,319
Brucella inopinata,86
Alteromonas atlantica,65
Pseudoalteromonas atlantica,65
Gordonia alkanivorans,83
Streptomyces azureus,362
Bacillus stearothermophilus,79
Geobacillus stearothermophilus,79
Acidovorax citrulli,253
Acinetobacter pittii,447
Streptomyces viridochromogenes,515
Agrobacterium tumefaciens,827
Shigella dysenteriae,687
Streptomyces scabiei,194
Serratia rubidaea,193
Gluconobacter cerinus,36
Corynebacterium vitaeruminis,523
Microbacterium foliorum,2394
Priestia megaterium,266
Salinibacter ruber,308
Bacillus brevis,716
Lactobacillus brevis,716
Pectobacterium wasabiae,147
Marinomonas mediterranea,50
Erwinia tracheiphila,46
Leclercia adecarboxylata,46
Brevibacterium iodinum,68
Pseudomonas grimontii,116
Faecalibacterium prausnitzii,589
Pseudomonas agarici,48
Microbacterium paraoxydans,565
Eggerthella lenta,88
Vibrio cyclitrophicus,140
Corynebacterium xerosis,420
Streptomyces platensis,135
Arthrobacter globiformis,1229
Arthrobacter atrocyaneus,73
Yersinia pseudotuberculosis,1731
Vibrio breoganii,525
Edwardsiella tarda,284
Staphylococcus pseudintermedius,479
Aeribacillus pallidus,73
Bacillus pallidus,146
Lactobacillus pentosus,100
Leptospira biflexa,164
Raoultella ornithinolytica,245
Anoxybacillus caldiproteolyticus,61
Xanthomonas fragariae,90
Vibrio coralliilyticus,195
Bacillus bogoriensis,80
Streptomyces griseofuscus,621
Gordonia rubripertincta,1341
Photobacterium damsela,642
Photobacterium damselae,642
Alteromonas mediterranea,156
Butyrivibrio fibrisolvens,50
Bifidobacterium asteroides,46
Alteromonas confluentis,67
Tenacibaculum maritimum,308
Roseovarius nubinhibens,91
Enterobacter asburiae,219
Achromobacter animicus,344
Bacillus velezensis,26
Bacillus safensis,93
Bacteroides intestinalis,104
Halobacterium salinarum,179
Providencia rettgeri,148
Xanthomonas euvesicatoria,66
Ralstonia pseudosolanacearum,894
Edwardsiella anguillarum,76
Aeromonas rivipollensis,157
Streptomyces xanthochromogenes,566
Streptomyces toxytricini,156
Citrobacter amalonaticus,71
Brevibacterium aurantiacum,53
Fusobacterium nucleatum,1476
Rhodococcus opacus,35
Vibrio lentus,40
Vibrio tasmaniensis,21
Burkholderia glumae,46
Cronobacter malonaticus,279
Proteus penneri,270
Gordonia westfalica,90
Vibrio campbellii,364
Vibrio owensii,101
Bacteroides xylanisolvens,81
Bacteroides thetaiotaomicron,120
Burkholderia gladioli,64
Maribacter forsetii,393
Chlamydia pneumoniae,6
Streptococcus agalactiae,136
Acidithiobacillus caldus,71
Thiobacillus caldus,71
Pseudoalteromonas phenolica,62
Brucella canis,56
Brucella suis,56
Mycobacteroides abscessus,504
Leuconostoc oenos,0
